distrito,intendencia,fuerza_gobierno,concejalias,consejalias_escolares,poblacion
almirante brown,juan fabiani,fdt,12,5,552902
avellaneda,alejo chornobroff,fdt,12,5,342677
berazategui,juan jose mussi,fdt,12,4,320244
berisso,fabian cagliardi,fdt,10,3,88470
brandsen,oscar capalletti ,jxc,7,3,19877
cañuelas,marisa fassi,fdt,9,3,51892
ensenada,mario secco ,fdt,9,3,56729
esteban echeverría,fernando gray ,fdt,12,4,300959
ezeiza,alejandro granados ,fdt,10,3,163722
florencio varela,andres wtson ,fdt,12,5,426005
la matanza,fernando espinoza ,fdt,12,5,1775816
lanús,nestor grindetti ,jxc,12,5,459263
lobos,jerge etcheverry ,jxc,8,3,36178
lomas de zamora,marina lesci ,fdt,12,5,616279
magdalena,gonzalo peluso,jxc,6,3,19301
presidente perón,blanca cantero ,fdt,10,3,80791
punta indio,leonardo angueira ,fdt,5,2,9888
quilmes,mayra mendoza ,fdt,12,5,580829
san vicente,nicolas mantegazza ,fdt,9,3,59478
almirante brown,juan fabiani ,fdt,12,5,552902
avellaneda,alejo chornobroff ,fdt,12,5,342677
berazategui,juan jose mussi,fdt,12,4,320244
berisso,fabian cagliardi ,fdt,10,3,88470
brandsen,oscar capalletti ,jxc,7,3,19877
